Classifier, TDMatrix, Tree_id, accuracy, precision, recall, f1_score
RF, Count, 0, 0.9343185550082101, 0.7321428571428571, 0.8913043478260869, 0.8039215686274508
RF, TF-IDF, 0, 0.9474548440065681, 0.7777777777777778, 0.9130434782608695, 0.84
RF, Count, 1, 0.9392446633825944, 0.7310924369747899, 0.9456521739130435, 0.824644549763033
RF, TF-IDF, 1, 0.9244663382594417, 0.7211538461538461, 0.8152173913043478, 0.7653061224489796
RF, Count, 2, 0.9408866995073891, 0.7333333333333333, 0.9565217391304348, 0.8301886792452831
RF, TF-IDF, 2, 0.9343185550082101, 0.75, 0.8478260869565217, 0.7959183673469389
RF, Count, 3, 0.9589490968801314, 0.819047619047619, 0.9347826086956522, 0.8730964467005077
RF, TF-IDF, 3, 0.9376026272577996, 0.7872340425531915, 0.8043478260869565, 0.795698924731183
RF, Count, 4, 0.9540229885057471, 0.826530612244898, 0.8804347826086957, 0.8526315789473684
RF, TF-IDF, 4, 0.9490968801313628, 0.7961165048543689, 0.8913043478260869, 0.8410256410256409
RF, Count, 5, 0.9392446633825944, 0.7350427350427351, 0.9347826086956522, 0.8229665071770336
RF, TF-IDF, 5, 0.9490968801313628, 0.8351648351648352, 0.8260869565217391, 0.8306010928961749
RF, Count, 6, 0.9589490968801314, 0.8383838383838383, 0.9021739130434783, 0.869109947643979
RF, TF-IDF, 6, 0.9458128078817734, 0.7610619469026548, 0.9347826086956522, 0.8390243902439024
RF, Count, 7, 0.9573070607553367, 0.8, 0.9565217391304348, 0.8712871287128713
RF, TF-IDF, 7, 0.9540229885057471, 0.8478260869565217, 0.8478260869565217, 0.8478260869565218
RF, Count, 8, 0.9490968801313628, 0.7904761904761904, 0.9021739130434783, 0.8426395939086293
RF, TF-IDF, 8, 0.9310344827586207, 0.7976190476190477, 0.7282608695652174, 0.7613636363636362
RF, Count, 9, 0.9425287356321839, 0.7394957983193278, 0.9565217391304348, 0.8341232227488152
RF, TF-IDF, 9, 0.9622331691297209, 0.8285714285714286, 0.9456521739130435, 0.8832487309644669
RF, Count, 10, 0.9376026272577996, 0.7368421052631579, 0.9130434782608695, 0.8155339805825242
RF, TF-IDF, 10, 0.9359605911330049, 0.7849462365591398, 0.7934782608695652, 0.7891891891891891
RF, Count, 11, 0.9688013136288999, 0.8543689320388349, 0.9565217391304348, 0.9025641025641026
RF, TF-IDF, 11, 0.9556650246305419, 0.8421052631578947, 0.8695652173913043, 0.8556149732620322
RF, Count, 12, 0.9573070607553367, 0.8055555555555556, 0.9456521739130435, 0.87
RF, TF-IDF, 12, 0.9178981937602627, 0.7441860465116279, 0.6956521739130435, 0.7191011235955057
RF, Count, 13, 0.9277504105090312, 0.6904761904761905, 0.9456521739130435, 0.7981651376146789
RF, TF-IDF, 13, 0.9293924466338259, 0.7425742574257426, 0.8152173913043478, 0.77720207253886
RF, Count, 14, 0.9408866995073891, 0.7295081967213115, 0.967391304347826, 0.8317757009345794
RF, TF-IDF, 14, 0.922824302134647, 0.7777777777777778, 0.6847826086956522, 0.7283236994219653
RF, Count, 15, 0.9605911330049262, 0.8207547169811321, 0.9456521739130435, 0.8787878787878787
RF, TF-IDF, 15, 0.9523809523809523, 0.794392523364486, 0.9239130434782609, 0.8542713567839195
RF, Count, 16, 0.9556650246305419, 0.8095238095238095, 0.9239130434782609, 0.8629441624365481
RF, TF-IDF, 16, 0.9474548440065681, 0.8061224489795918, 0.8586956521739131, 0.8315789473684211
RF, Count, 17, 0.9458128078817734, 0.7610619469026548, 0.9347826086956522, 0.8390243902439024
RF, TF-IDF, 17, 0.9277504105090312, 0.8076923076923077, 0.6847826086956522, 0.7411764705882354
RF, Count, 18, 0.9441707717569786, 0.7457627118644068, 0.9565217391304348, 0.8380952380952381
RF, TF-IDF, 18, 0.922824302134647, 0.7419354838709677, 0.75, 0.7459459459459459
RF, Count, 19, 0.9441707717569786, 0.7589285714285714, 0.9239130434782609, 0.8333333333333331
RF, TF-IDF, 19, 0.9490968801313628, 0.7798165137614679, 0.9239130434782609, 0.8457711442786071
RF, Count, 20, 0.9688013136288999, 0.8762886597938144, 0.9239130434782609, 0.8994708994708995
RF, TF-IDF, 20, 0.8899835796387521, 0.676056338028169, 0.5217391304347826, 0.5889570552147239
RF, Count, 21, 0.9556650246305419, 0.8155339805825242, 0.9130434782608695, 0.8615384615384616
RF, TF-IDF, 21, 0.9474548440065681, 0.7777777777777778, 0.9130434782608695, 0.84
RF, Count, 22, 0.9573070607553367, 0.8235294117647058, 0.9130434782608695, 0.865979381443299
RF, TF-IDF, 22, 0.8768472906403941, 0.673469387755102, 0.358695652173913, 0.46808510638297873
RF, Count, 23, 0.9441707717569786, 0.7636363636363637, 0.9130434782608695, 0.8316831683168316
RF, TF-IDF, 23, 0.9458128078817734, 0.7657657657657657, 0.9239130434782609, 0.8374384236453201
RF, Count, 24, 0.9523809523809523, 0.794392523364486, 0.9239130434782609, 0.8542713567839195
RF, TF-IDF, 24, 0.9507389162561576, 0.7818181818181819, 0.9347826086956522, 0.8514851485148516
RF, Count, 25, 0.9523809523809523, 0.8118811881188119, 0.8913043478260869, 0.8497409326424871
RF, TF-IDF, 25, 0.9605911330049262, 0.8207547169811321, 0.9456521739130435, 0.8787878787878787
RF, Count, 26, 0.9458128078817734, 0.7610619469026548, 0.9347826086956522, 0.8390243902439024
RF, TF-IDF, 26, 0.9129720853858785, 0.7910447761194029, 0.5760869565217391, 0.6666666666666666
RF, Count, 27, 0.9441707717569786, 0.7685185185185185, 0.9021739130434783, 0.8300000000000001
