Classifier, TDMatrix, Tree_id, accuracy, precision, recall, f1_score
RF, Count, 0, 0.9293924466338259, 0.3090909090909091, 0.7727272727272727, 0.44155844155844154
RF, TF-IDF, 0, 0.9720853858784894, 0.5806451612903226, 0.8181818181818182, 0.679245283018868
RF, Count, 1, 0.9458128078817734, 0.3877551020408163, 0.8636363636363636, 0.5352112676056339
RF, TF-IDF, 1, 0.9671592775041051, 0.5454545454545454, 0.5454545454545454, 0.5454545454545454
RF, Count, 2, 0.9343185550082101, 0.3392857142857143, 0.8636363636363636, 0.48717948717948717
RF, TF-IDF, 2, 0.9458128078817734, 0.39215686274509803, 0.9090909090909091, 0.547945205479452
RF, Count, 3, 0.9343185550082101, 0.3392857142857143, 0.8636363636363636, 0.48717948717948717
RF, TF-IDF, 3, 0.9638752052545156, 0.5, 0.6818181818181818, 0.576923076923077
RF, Count, 4, 0.9704433497536946, 0.5625, 0.8181818181818182, 0.6666666666666666
RF, TF-IDF, 4, 0.9638752052545156, 0.5, 0.7272727272727273, 0.5925925925925926
RF, Count, 5, 0.9326765188834154, 0.3333333333333333, 0.8636363636363636, 0.481012658227848
RF, TF-IDF, 5, 0.8505747126436781, 0.1891891891891892, 0.9545454545454546, 0.3157894736842105
RF, Count, 6, 0.9458128078817734, 0.3829787234042553, 0.8181818181818182, 0.5217391304347826
RF, TF-IDF, 6, 0.9655172413793104, 0.5142857142857142, 0.8181818181818182, 0.6315789473684209
RF, Count, 7, 0.9376026272577996, 0.35185185185185186, 0.8636363636363636, 0.5000000000000001
RF, TF-IDF, 7, 0.9622331691297209, 0.4857142857142857, 0.7727272727272727, 0.5964912280701754
RF, Count, 8, 0.9293924466338259, 0.32786885245901637, 0.9090909090909091, 0.4819277108433735
RF, TF-IDF, 8, 0.9622331691297209, 0.48717948717948717, 0.8636363636363636, 0.6229508196721312
RF, Count, 9, 0.8784893267651889, 0.2111111111111111, 0.8636363636363636, 0.3392857142857143
RF, TF-IDF, 9, 0.8768472906403941, 0.2087912087912088, 0.8636363636363636, 0.33628318584070793
RF, Count, 10, 0.922824302134647, 0.3076923076923077, 0.9090909090909091, 0.45977011494252884
RF, TF-IDF, 10, 0.9573070607553367, 0.45, 0.8181818181818182, 0.5806451612903226
RF, Count, 11, 0.9573070607553367, 0.45, 0.8181818181818182, 0.5806451612903226
RF, TF-IDF, 11, 0.9047619047619048, 0.2631578947368421, 0.9090909090909091, 0.4081632653061224
RF, Count, 12, 0.9376026272577996, 0.35714285714285715, 0.9090909090909091, 0.5128205128205129
RF, TF-IDF, 12, 0.9737274220032841, 0.6, 0.8181818181818182, 0.6923076923076923
RF, Count, 13, 0.9392446633825944, 0.3584905660377358, 0.8636363636363636, 0.5066666666666666
RF, TF-IDF, 13, 0.9638752052545156, 0.5, 0.8181818181818182, 0.6206896551724137
RF, Count, 14, 0.9720853858784894, 0.5757575757575758, 0.8636363636363636, 0.6909090909090909
RF, TF-IDF, 14, 0.9638752052545156, 0.5, 0.8636363636363636, 0.6333333333333333
RF, Count, 15, 0.9064039408866995, 0.26666666666666666, 0.9090909090909091, 0.41237113402061853
RF, TF-IDF, 15, 0.9540229885057471, 0.42857142857142855, 0.8181818181818182, 0.5625
RF, Count, 16, 0.922824302134647, 0.30158730158730157, 0.8636363636363636, 0.4470588235294118
RF, TF-IDF, 16, 0.9408866995073891, 0.3409090909090909, 0.6818181818181818, 0.45454545454545453
RF, Count, 17, 0.9441707717569786, 0.3888888888888889, 0.9545454545454546, 0.5526315789473685
RF, TF-IDF, 17, 0.8801313628899836, 0.21978021978021978, 0.9090909090909091, 0.35398230088495575
RF, Count, 18, 0.9195402298850575, 0.2786885245901639, 0.7727272727272727, 0.40963855421686746
RF, TF-IDF, 18, 0.9704433497536946, 0.5666666666666667, 0.7727272727272727, 0.6538461538461539
RF, Count, 19, 0.9441707717569786, 0.375, 0.8181818181818182, 0.5142857142857142
RF, TF-IDF, 19, 0.9589490968801314, 0.46153846153846156, 0.8181818181818182, 0.5901639344262295
RF, Count, 20, 0.9638752052545156, 0.5, 0.8636363636363636, 0.6333333333333333
RF, TF-IDF, 20, 0.9704433497536946, 0.5588235294117647, 0.8636363636363636, 0.6785714285714287
RF, Count, 21, 0.922824302134647, 0.30158730158730157, 0.8636363636363636, 0.4470588235294118
RF, TF-IDF, 21, 0.9556650246305419, 0.4358974358974359, 0.7727272727272727, 0.5573770491803278
