Classifier, TDMatrix, Tree_id, accuracy, precision, recall, f1_score
RF, Count, 0, 0.8587848932676518, 0.5771428571428572, 0.8938053097345132, 0.7013888888888888
RF, TF-IDF, 0, 0.8160919540229885, 0.5058823529411764, 0.3805309734513274, 0.43434343434343436
RF, Count, 1, 0.8669950738916257, 0.5963855421686747, 0.8761061946902655, 0.7096774193548386
RF, TF-IDF, 1, 0.8423645320197044, 0.5639097744360902, 0.6637168141592921, 0.6097560975609756
RF, Count, 2, 0.8686371100164204, 0.6, 0.8761061946902655, 0.7122302158273381
RF, TF-IDF, 2, 0.8587848932676518, 0.6, 0.7168141592920354, 0.6532258064516129
RF, Count, 3, 0.8768472906403941, 0.6233766233766234, 0.8495575221238938, 0.7191011235955056
RF, TF-IDF, 3, 0.8407224958949097, 0.5655737704918032, 0.6106194690265486, 0.5872340425531914
RF, Count, 4, 0.8702791461412152, 0.6024096385542169, 0.8849557522123894, 0.7168458781362008
RF, TF-IDF, 4, 0.8522167487684729, 0.5851851851851851, 0.6991150442477876, 0.6370967741935484
RF, Count, 5, 0.8784893267651889, 0.6308724832214765, 0.831858407079646, 0.7175572519083969
RF, TF-IDF, 5, 0.8325123152709359, 0.5379310344827586, 0.6902654867256637, 0.6046511627906976
RF, Count, 6, 0.8669950738916257, 0.6025641025641025, 0.831858407079646, 0.6988847583643122
RF, TF-IDF, 6, 0.8637110016420362, 0.6013513513513513, 0.7876106194690266, 0.6819923371647509
RF, Count, 7, 0.8817733990147784, 0.6339869281045751, 0.8584070796460177, 0.7293233082706766
RF, TF-IDF, 7, 0.8522167487684729, 0.5905511811023622, 0.6637168141592921, 0.625
RF, Count, 8, 0.8686371100164204, 0.6037735849056604, 0.8495575221238938, 0.7058823529411765
RF, TF-IDF, 8, 0.8292282430213465, 0.5354330708661418, 0.6017699115044248, 0.5666666666666668
RF, Count, 9, 0.8752052545155994, 0.6225165562913907, 0.831858407079646, 0.7121212121212119
RF, TF-IDF, 9, 0.8735632183908046, 0.6168831168831169, 0.8407079646017699, 0.7116104868913858
RF, Count, 10, 0.8653530377668309, 0.5895953757225434, 0.9026548672566371, 0.7132867132867132
RF, TF-IDF, 10, 0.8522167487684729, 0.592, 0.6548672566371682, 0.6218487394957983
RF, Count, 11, 0.8653530377668309, 0.6, 0.8230088495575221, 0.6940298507462687
RF, TF-IDF, 11, 0.8899835796387521, 0.6691176470588235, 0.8053097345132744, 0.7309236947791166
RF, Count, 12, 0.8505747126436781, 0.5632183908045977, 0.8672566371681416, 0.6829268292682927
RF, TF-IDF, 12, 0.8522167487684729, 0.5664739884393064, 0.8672566371681416, 0.6853146853146853
RF, Count, 13, 0.8604269293924466, 0.5886075949367089, 0.8230088495575221, 0.6863468634686347
RF, TF-IDF, 13, 0.8604269293924466, 0.5833333333333334, 0.8672566371681416, 0.6975088967971531
RF, Count, 14, 0.8735632183908046, 0.62, 0.8230088495575221, 0.7072243346007604
RF, TF-IDF, 14, 0.8735632183908046, 0.6168831168831169, 0.8407079646017699, 0.7116104868913858
RF, Count, 15, 0.8752052545155994, 0.6163522012578616, 0.8672566371681416, 0.7205882352941176
RF, TF-IDF, 15, 0.8587848932676518, 0.6062992125984252, 0.6814159292035398, 0.6416666666666666
RF, Count, 16, 0.8686371100164204, 0.6012269938650306, 0.8672566371681416, 0.7101449275362318
RF, TF-IDF, 16, 0.8604269293924466, 0.6272727272727273, 0.6106194690265486, 0.6188340807174888
RF, Count, 17, 0.8620689655172413, 0.588957055214724, 0.8495575221238938, 0.6956521739130435
RF, TF-IDF, 17, 0.8423645320197044, 0.5570469798657718, 0.7345132743362832, 0.633587786259542
RF, Count, 18, 0.8752052545155994, 0.6178343949044586, 0.8584070796460177, 0.7185185185185184
RF, TF-IDF, 18, 0.8505747126436781, 0.582089552238806, 0.6902654867256637, 0.6315789473684211
RF, Count, 19, 0.8768472906403941, 0.625, 0.8407079646017699, 0.7169811320754718
RF, TF-IDF, 19, 0.8752052545155994, 0.6456692913385826, 0.7256637168141593, 0.6833333333333333
RF, Count, 20, 0.8357963875205254, 0.5347593582887701, 0.8849557522123894, 0.6666666666666667
RF, TF-IDF, 20, 0.8226600985221675, 0.5142857142857142, 0.7964601769911505, 0.625
RF, Count, 21, 0.8801313628899836, 0.6219512195121951, 0.9026548672566371, 0.7364620938628158
RF, TF-IDF, 21, 0.8571428571428571, 0.5844155844155844, 0.7964601769911505, 0.6741573033707865
RF, Count, 22, 0.8719211822660099, 0.6047904191616766, 0.8938053097345132, 0.7214285714285714
RF, TF-IDF, 22, 0.8669950738916257, 0.6038961038961039, 0.8230088495575221, 0.6966292134831461
RF, Count, 23, 0.8768472906403941, 0.625, 0.8407079646017699, 0.7169811320754718
RF, TF-IDF, 23, 0.8292282430213465, 0.536, 0.5929203539823009, 0.5630252100840336
RF, Count, 24, 0.8686371100164204, 0.5976331360946746, 0.8938053097345132, 0.7163120567375887
RF, TF-IDF, 24, 0.8571428571428571, 0.58125, 0.8230088495575221, 0.6813186813186813
RF, Count, 25, 0.8686371100164204, 0.6024844720496895, 0.8584070796460177, 0.7080291970802921
RF, TF-IDF, 25, 0.8702791461412152, 0.6164383561643836, 0.7964601769911505, 0.6949806949806949
RF, Count, 26, 0.8866995073891626, 0.6549295774647887, 0.8230088495575221, 0.7294117647058823
RF, TF-IDF, 26, 0.8555008210180624, 0.5862068965517241, 0.7522123893805309, 0.6589147286821705
RF, Count, 27, 0.8735632183908046, 0.618421052631579, 0.831858407079646, 0.709433962264151
