Classifier, TDMatrix, Tree_id, accuracy, precision, recall, f1_score
RF, Count, 0, 0.9770114942528736, 0.7692307692307693, 0.9523809523809523, 0.8510638297872339
RF, TF-IDF, 0, 0.9474548440065681, 0.5735294117647058, 0.9285714285714286, 0.7090909090909091
RF, Count, 1, 0.9523809523809523, 0.6, 0.9285714285714286, 0.7289719626168225
RF, TF-IDF, 1, 0.9359605911330049, 0.5223880597014925, 0.8333333333333334, 0.6422018348623852
RF, Count, 2, 0.9507389162561576, 0.5909090909090909, 0.9285714285714286, 0.7222222222222223
RF, TF-IDF, 2, 0.9408866995073891, 0.5517241379310345, 0.7619047619047619, 0.64
RF, Count, 3, 0.9605911330049262, 0.65, 0.9285714285714286, 0.7647058823529412
RF, TF-IDF, 3, 0.9376026272577996, 0.5370370370370371, 0.6904761904761905, 0.6041666666666667
RF, Count, 4, 0.9655172413793104, 0.6842105263157895, 0.9285714285714286, 0.7878787878787878
RF, TF-IDF, 4, 0.9688013136288999, 0.7346938775510204, 0.8571428571428571, 0.7912087912087913
RF, Count, 5, 0.9523809523809523, 0.5942028985507246, 0.9761904761904762, 0.7387387387387387
RF, TF-IDF, 5, 0.9490968801313628, 0.5774647887323944, 0.9761904761904762, 0.7256637168141593
RF, Count, 6, 0.9737274220032841, 0.7407407407407407, 0.9523809523809523, 0.8333333333333334
RF, TF-IDF, 6, 0.9671592775041051, 0.72, 0.8571428571428571, 0.782608695652174
RF, Count, 7, 0.9490968801313628, 0.5846153846153846, 0.9047619047619048, 0.7102803738317757
RF, TF-IDF, 7, 0.9326765188834154, 0.5072463768115942, 0.8333333333333334, 0.6306306306306306
RF, Count, 8, 0.9671592775041051, 0.7391304347826086, 0.8095238095238095, 0.7727272727272727
RF, TF-IDF, 8, 0.9523809523809523, 0.6181818181818182, 0.8095238095238095, 0.7010309278350516
RF, Count, 9, 0.9540229885057471, 0.6296296296296297, 0.8095238095238095, 0.7083333333333334
RF, TF-IDF, 9, 0.9556650246305419, 0.6363636363636364, 0.8333333333333334, 0.7216494845360825
RF, Count, 10, 0.9786535303776683, 0.7959183673469388, 0.9285714285714286, 0.8571428571428572
RF, TF-IDF, 10, 0.9753694581280788, 0.813953488372093, 0.8333333333333334, 0.8235294117647058
RF, Count, 11, 0.9720853858784894, 0.7450980392156863, 0.9047619047619048, 0.8172043010752689
RF, TF-IDF, 11, 0.9408866995073891, 0.56, 0.6666666666666666, 0.6086956521739131
RF, Count, 12, 0.9408866995073891, 0.5428571428571428, 0.9047619047619048, 0.6785714285714285
RF, TF-IDF, 12, 0.9310344827586207, 0.5, 0.8809523809523809, 0.6379310344827586
RF, Count, 13, 0.9425287356321839, 0.5522388059701493, 0.8809523809523809, 0.6788990825688074
RF, TF-IDF, 13, 0.9277504105090312, 0.4861111111111111, 0.8333333333333334, 0.6140350877192983
RF, Count, 14, 0.9458128078817734, 0.5652173913043478, 0.9285714285714286, 0.7027027027027025
RF, TF-IDF, 14, 0.9146141215106732, 0.43902439024390244, 0.8571428571428571, 0.5806451612903225
RF, Count, 15, 0.9737274220032841, 0.7407407407407407, 0.9523809523809523, 0.8333333333333334
RF, TF-IDF, 15, 0.9704433497536946, 0.74, 0.8809523809523809, 0.8043478260869565
RF, Count, 16, 0.9720853858784894, 0.7450980392156863, 0.9047619047619048, 0.8172043010752689
RF, TF-IDF, 16, 0.9556650246305419, 0.631578947368421, 0.8571428571428571, 0.7272727272727273
RF, Count, 17, 0.9688013136288999, 0.7090909090909091, 0.9285714285714286, 0.8041237113402062
RF, TF-IDF, 17, 0.9622331691297209, 0.6862745098039216, 0.8333333333333334, 0.7526881720430109
RF, Count, 18, 0.9573070607553367, 0.6290322580645161, 0.9285714285714286, 0.75
RF, TF-IDF, 18, 0.9638752052545156, 0.6724137931034483, 0.9285714285714286, 0.78
RF, Count, 19, 0.9556650246305419, 0.6119402985074627, 0.9761904761904762, 0.7522935779816514
RF, TF-IDF, 19, 0.9277504105090312, 0.48717948717948717, 0.9047619047619048, 0.6333333333333333
RF, Count, 20, 0.916256157635468, 0.4444444444444444, 0.8571428571428571, 0.5853658536585367
RF, TF-IDF, 20, 0.9605911330049262, 0.6607142857142857, 0.8809523809523809, 0.7551020408163266
RF, Count, 21, 0.9720853858784894, 0.7659574468085106, 0.8571428571428571, 0.8089887640449439
RF, TF-IDF, 21, 0.9720853858784894, 0.8205128205128205, 0.7619047619047619, 0.7901234567901233
RF, Count, 22, 0.9671592775041051, 0.7115384615384616, 0.8809523809523809, 0.7872340425531914
RF, TF-IDF, 22, 0.9507389162561576, 0.5967741935483871, 0.8809523809523809, 0.7115384615384616
RF, Count, 23, 0.9753694581280788, 0.7647058823529411, 0.9285714285714286, 0.8387096774193549
RF, TF-IDF, 23, 0.8981937602627258, 0.38372093023255816, 0.7857142857142857, 0.515625
RF, Count, 24, 0.9688013136288999, 0.7346938775510204, 0.8571428571428571, 0.7912087912087913
RF, TF-IDF, 24, 0.9540229885057471, 0.6129032258064516, 0.9047619047619048, 0.7307692307692307
RF, Count, 25, 0.9655172413793104, 0.6909090909090909, 0.9047619047619048, 0.7835051546391754
RF, TF-IDF, 25, 0.9507389162561576, 0.603448275862069, 0.8333333333333334, 0.7
RF, Count, 26, 0.9458128078817734, 0.5714285714285714, 0.8571428571428571, 0.6857142857142857
RF, TF-IDF, 26, 0.9638752052545156, 0.75, 0.7142857142857143, 0.7317073170731706
RF, Count, 27, 0.9310344827586207, 0.5, 0.9523809523809523, 0.6557377049180327
